"uid","username","first_changeset_with_hashtag","latest_changeset_with_hashtag","changesets_with_hashtag","total_changes"
"11187564","RwenzoriRange","2020-06-04 05:08:22.000","2020-07-17 12:01:28.000","312","34395"
"10892484","CuillinHills","2020-06-01 04:55:08.000","2020-07-17 11:50:07.000","661","93356"
"10653144","CopleySquare","2020-06-01 05:40:38.000","2020-07-17 14:14:38.000","609","105162"
"8901620","Anacostan","2020-06-01 08:07:03.000","2020-07-17 14:39:10.000","155","2748"
"10210136","GaziBaba","2020-06-01 07:43:22.000","2020-07-17 13:54:15.000","95","1201"
"10888725","AoosVjosee","2020-06-01 05:29:47.000","2020-06-30 11:59:44.000","9","406"
"11459629","chenluli","2020-07-08 06:05:58.000","2020-07-08 06:11:54.000","5","27"
"10210179","Vindhallow","2020-06-01 06:54:35.000","2020-07-17 12:54:41.000","267","25739"
"11387835","StikineIcefield","2020-07-13 06:19:30.000","2020-07-17 11:25:40.000","32","3032"
"11187572","IllerRiver","2020-06-03 04:56:39.000","2020-07-17 10:10:19.000","280","51438"
"10334749","Geirangerfjord","2020-06-01 11:26:25.000","2020-07-17 13:15:20.000","161","7066"
"9625494","Sodermalm","2020-06-01 04:34:56.000","2020-07-17 06:21:58.000","193","29864"
"10811265","MagazineStreet","2020-06-01 05:06:08.000","2020-06-26 11:17:58.000","337","64012"
"11465334","Valuina","2020-07-09 06:43:43.000","2020-07-09 07:20:29.000","5","76"
"10811197","CapDesPalmes","2020-06-01 05:36:54.000","2020-07-17 12:03:10.000","642","60712"
"10529457","HarrisonSpring","2020-07-02 12:11:57.000","2020-07-17 09:48:54.000","138","15457"
"8794042","voyagerRB","2020-06-01 06:03:19.000","2020-07-17 13:45:05.000","422","21809"
"9461073","Cumin_bean","2020-05-29 22:18:57.000","2020-07-13 18:23:07.000","25","241"
"11198894","xuanhong","2020-05-18 03:28:15.000","2020-05-18 03:28:15.000","1","152"
"10811041","Kerguelen2","2020-06-01 08:10:17.000","2020-07-17 11:19:03.000","211","6332"
"8976477","Trastevere","2020-06-01 05:41:47.000","2020-07-17 12:43:01.000","452","38964"
"11100178","Congshi","2020-05-18 03:25:39.000","2020-05-26 08:56:33.000","6","1761"
"10626044","v_madhu","2020-06-03 04:15:33.000","2020-06-03 04:46:25.000","3","154"
"10409685","LacDeYate","2020-06-01 04:50:15.000","2020-07-17 12:20:11.000","578","51658"
"10529478","FluteButte","2020-06-01 05:50:18.000","2020-07-17 12:12:27.000","385","56536"
"10210151","BayRidge","2020-06-01 05:11:49.000","2020-07-16 13:40:05.000","762","96503"
"10210112","EuljiRo","2020-06-01 10:40:54.000","2020-07-17 07:20:26.000","202","15827"
"10811276","IjRiver","2020-06-01 06:06:26.000","2020-07-17 09:07:15.000","651","120518"
"8976529","Taxila","2020-06-01 05:48:48.000","2020-07-17 13:53:16.000","335","30702"
"10782400","Coffees_and_Mappys","2020-05-26 18:20:19.000","2020-07-10 19:18:57.000","511","30120"
"10019188","Karlinbach","2020-06-01 10:49:01.000","2020-07-17 11:57:13.000","299","6399"
"10210147","Lipscani","2020-06-01 05:38:52.000","2020-07-17 13:04:58.000","462","35468"
"10228237","EarlEBird","2020-05-26 18:38:26.000","2020-07-17 22:15:24.000","677","15860"
"11225837","wheredamapsat","2020-05-26 18:56:45.000","2020-07-17 23:30:48.000","186","23957"
"10782412","Suny2020","2020-05-27 17:19:44.000","2020-07-18 00:50:15.000","505","11666"
"10409646","LeutascherAche","2020-06-01 04:39:13.000","2020-07-17 11:12:11.000","544","53024"
"9090075","Pamir20","2020-06-01 13:01:06.000","2020-07-16 14:12:41.000","36","398"
"11129831","MaheshBhatkar","2020-05-05 09:42:49.000","2020-07-09 07:05:54.000","7","88"
"11244383","cxn","2020-05-26 07:10:39.000","2020-05-26 08:15:09.000","35","460"
"11465341","hlum","2020-07-09 06:41:21.000","2020-07-09 07:51:27.000","19","858"
"10529464","Karoo02","2020-06-01 07:45:05.000","2020-07-17 12:47:38.000","526","62114"
"9535159","CharcoVerde","2020-06-01 08:06:00.000","2020-07-15 14:56:08.000","77","2057"
"10782355","Julebox","2020-05-26 19:15:04.000","2020-07-18 00:50:24.000","299","17815"
"9225253","MtRainier","2020-06-01 05:59:48.000","2020-07-13 13:09:43.000","657","71197"
"8392680","MargoKat","2020-05-28 23:06:16.000","2020-06-25 23:51:57.000","5","149"
"8484034","movie_fan_sal","2020-06-01 06:29:09.000","2020-07-17 11:36:03.000","361","22647"
"10529612","Dorsoduro","2020-06-01 04:56:20.000","2020-07-17 11:47:34.000","495","65948"
"10210141","KiselaVoda","2020-06-01 05:14:31.000","2020-07-17 13:46:35.000","1038","109440"
"10892450","Tinee2","2020-06-01 04:46:39.000","2020-07-17 11:29:16.000","661","66225"
"9320682","BeagleChannel","2020-06-01 10:57:39.000","2020-07-17 10:50:16.000","237","10588"
"10652864","AmalfiCoast","2020-06-01 06:20:32.000","2020-07-17 09:44:23.000","105","1975"
"8976546","upendraK","2020-06-08 07:05:12.000","2020-07-17 13:19:52.000","13","47"
"10529333","Boipeda","2020-07-02 06:21:19.000","2020-07-17 11:11:46.000","248","23621"
"10074494","Iguacu","2020-06-01 04:42:56.000","2020-07-17 13:29:30.000","535","87742"
"9625508","Tyrifjorden","2020-06-01 07:04:00.000","2020-07-17 13:43:28.000","238","5822"
"8794109","MTruns","2020-06-13 12:10:01.000","2020-06-13 12:52:42.000","3","61"
"9090230","RossSea","2020-06-01 06:13:11.000","2020-07-17 11:03:50.000","544","40961"
"11225848","madsforwhat","2020-05-29 23:05:52.000","2020-07-17 23:21:09.000","467","51833"
"7294560","ruggs","2020-06-24 20:35:32.000","2020-07-16 18:17:00.000","23","1875"
"10935662","Waffleboy","2020-05-26 18:43:42.000","2020-07-10 20:41:39.000","742","39489"
"10461107","BeckleyBog","2020-06-03 04:21:59.000","2020-06-19 12:03:02.000","579","66447"
"7629867","round_the_world","2020-06-09 03:46:51.000","2020-06-18 06:19:14.000","291","6917"
"10734568","hima_ja","2020-06-03 04:40:03.000","2020-06-03 04:40:03.000","1","19"
"11455880","edmundpoh","2020-07-08 06:00:22.000","2020-07-12 07:31:04.000","10","3166"
"10652932","Georgestown","2020-06-01 03:47:53.000","2020-07-17 12:14:57.000","1481","132261"
"9090156","Finisterre","2020-06-01 07:11:43.000","2020-07-17 12:18:50.000","275","10936"
"9225348","CentralWestEnd","2020-06-01 06:03:28.000","2020-07-17 08:22:37.000","207","3614"
"8794031","bunty_6","2020-06-01 06:06:43.000","2020-07-17 12:26:23.000","348","14182"
"10652799","AlQuoz","2020-06-05 09:47:46.000","2020-07-17 12:10:59.000","289","45699"
"10811018","CalleLaRonda","2020-06-01 05:19:07.000","2020-07-17 10:35:48.000","143","41718"
"11187469","MontaltoAlps","2020-06-03 06:43:31.000","2020-07-15 11:08:34.000","476","59699"
"10461072","BinghamPond","2020-06-01 04:38:41.000","2020-07-17 12:34:53.000","943","51488"
"9447012","Popolopen","2020-06-01 05:07:13.000","2020-07-17 10:33:46.000","484","61206"
"9388995","TsangpoGorge","2020-06-01 05:15:57.000","2020-07-17 11:07:11.000","213","178525"
"8901564","Kuskokwim","2020-06-01 11:10:30.000","2020-07-17 06:43:20.000","21","266"
"7774118","RiverBearings","2020-05-27 00:46:27.000","2020-07-10 08:04:33.000","392","13927"
"10334837","Liming00","2020-06-08 10:16:28.000","2020-06-12 10:42:15.000","14","682"
"11465352","xuanyan0719","2020-07-09 06:41:02.000","2020-07-09 07:52:52.000","6","373"
"10529506","Jordaan23","2020-06-01 04:33:08.000","2020-07-17 11:47:31.000","403","52086"
"10892488","Nesque7","2020-06-01 05:05:43.000","2020-07-17 12:07:17.000","701","118015"
"10409670","LakeVelence","2020-06-01 06:47:09.000","2020-07-17 09:24:23.000","725","71638"
"10811152","Albacin","2020-06-03 04:15:36.000","2020-07-17 08:35:43.000","444","51997"
"10461136","Uluwatu0","2020-06-01 04:29:44.000","2020-07-17 11:10:11.000","545","62737"
"9090220","ClingmansDome","2020-06-01 12:00:34.000","2020-07-17 13:15:48.000","154","2404"
"7526668","WingardiumMapiosa","2020-06-01 16:47:20.000","2020-07-17 18:53:47.000","241","27690"
"9320720","LanusOeste","2020-06-01 05:18:41.000","2020-07-03 06:44:41.000","28","272"
"6095805","FlyTy","2020-05-26 18:16:35.000","2020-06-19 22:58:15.000","13","3433"
"10892549","NanMadol","2020-06-03 07:02:04.000","2020-07-17 11:18:55.000","230","6499"
"10461185","Talampaya","2020-06-01 06:46:34.000","2020-07-16 16:00:54.000","1186","49157"
"10529216","AlaskanWay","2020-06-16 08:14:23.000","2020-06-16 08:14:23.000","1","5"
"11459230","ziluniu","2020-07-08 05:43:01.000","2020-07-08 07:18:59.000","16","1162"
"10529475","Cloudbreak","2020-06-01 11:17:16.000","2020-07-17 10:27:00.000","198","17543"
"10529658","Guanabacoa","2020-06-01 08:43:01.000","2020-07-17 11:43:05.000","539","90629"
"10892453","Chesapeake","2020-06-04 05:14:17.000","2020-07-17 11:44:29.000","170","4863"
"8392769","PaintItRed","2020-06-01 10:11:05.000","2020-07-13 14:07:29.000","24","250"
"11414582","ChamilkaU","2020-07-09 06:58:53.000","2020-07-09 07:22:12.000","4","65"
"10353523","AlumRock","2020-06-01 07:12:11.000","2020-07-17 10:05:25.000","506","24389"
"10888840","Skiddaw","2020-06-01 04:40:41.000","2020-07-17 11:50:31.000","518","67175"
"9625574","Eckington","2020-06-01 10:34:27.000","2020-07-17 14:45:09.000","72","1560"
"10019249","MurchisonFalls","2020-06-03 10:42:02.000","2020-07-17 05:41:11.000","47","449"
"10778897","Hightide10","2020-05-26 18:32:51.000","2020-07-17 22:01:01.000","364","25929"
"8794050","MapsAndMarinates","2020-06-01 04:13:37.000","2020-07-17 07:50:19.000","269","7512"
"9090054","RubAlKhali","2020-06-01 13:08:07.000","2020-07-17 11:48:21.000","173","1443"
"11244370","Wayne Ong","2020-05-26 07:08:30.000","2020-05-26 08:53:39.000","5","873"
"10892439","Svalbard9","2020-06-01 04:37:59.000","2020-07-17 11:13:12.000","530","48214"
"10653251","Bamiyan","2020-06-01 06:11:47.000","2020-07-17 12:29:15.000","660","50665"
"10892443","Grand5Banks","2020-06-01 06:04:00.000","2020-07-17 06:53:21.000","423","45645"
"9461104","Kastchei","2020-05-26 20:01:59.000","2020-07-17 23:41:16.000","254","6970"
"10778905","Pakuhi_Ahi","2020-05-26 21:27:16.000","2020-07-17 23:32:32.000","463","36549"
"10409625","LizardHeadPeak","2020-06-01 06:44:36.000","2020-07-17 10:26:00.000","467","51737"
"8484031","hypermee","2020-06-01 06:22:08.000","2020-07-01 05:23:47.000","150","6862"
"10888688","CranaeIsland","2020-06-01 10:13:24.000","2020-06-04 11:18:34.000","7","137"
"8901614","Zugspitze92","2020-06-04 08:29:42.000","2020-06-25 08:56:24.000","11","55"
"11244331","salih129","2020-05-26 08:27:50.000","2020-05-26 08:27:50.000","1","1213"
"8976512","NorthernLiberties","2020-06-23 04:59:21.000","2020-06-23 05:04:51.000","5","23"
"10652874","BlueLagoon2","2020-06-01 05:34:59.000","2020-07-17 12:26:34.000","908","95789"
"9625501","Kungstradgarden","2020-06-01 12:59:40.000","2020-07-17 14:23:00.000","104","1875"
"9225258","PlazaBaquedano","2020-06-01 04:55:16.000","2020-07-17 12:43:26.000","461","54922"
"10409676","KwaMakhutha","2020-06-03 05:07:21.000","2020-07-17 11:57:24.000","1157","61284"
"10811088","NuupKangerlua","2020-06-03 05:17:51.000","2020-07-17 11:30:16.000","369","78684"
"10142228","SummitLake","2020-06-01 05:24:32.000","2020-07-17 11:11:14.000","696","84079"
"9202949","Roolet","2020-05-26 18:39:27.000","2020-07-18 00:00:48.000","338","19852"
"9090066","CapeGrisNez","2020-06-01 10:03:46.000","2020-07-17 13:57:51.000","90","2678"
"9320535","Shibuya18","2020-06-01 07:59:47.000","2020-07-17 08:35:13.000","29","332"
"9225383","Kanchenjunga","2020-06-01 10:07:11.000","2020-07-10 09:13:19.000","249","3612"
"7449647","Brat_43","2020-06-01 08:04:01.000","2020-06-18 04:39:12.000","233","3537"
"10782364","HollyDay","2020-05-26 18:47:42.000","2020-07-08 18:35:58.000","315","21753"
"10653115","FairmountPark","2020-06-01 04:10:19.000","2020-07-17 11:35:49.000","1249","87132"
"10652994","GangnamDistrict","2020-06-01 05:08:39.000","2020-07-17 11:29:24.000","644","75251"
"10653302","HangingLake","2020-06-01 07:29:58.000","2020-07-17 14:05:34.000","607","51735"
"9535285","DanaeBrookCanyon","2020-06-01 08:03:08.000","2020-07-17 09:39:25.000","226","10366"
"11187683","KekovaIsland","2020-06-03 06:51:54.000","2020-07-17 07:56:25.000","114","51308"
"10228232","SergiNavas16","2020-05-26 19:40:32.000","2020-07-18 01:35:19.000","548","21194"
"6095772","cartogram","2020-05-29 22:43:23.000","2020-07-15 19:21:48.000","38","1796"
"11399645","Funsea25","2020-07-03 22:07:23.000","2020-07-03 22:07:23.000","1","164"
"9447062","Tubbataha","2020-06-01 04:55:54.000","2020-07-17 08:12:53.000","836","75715"
"10461122","Zagyva","2020-06-01 05:22:32.000","2020-07-17 11:51:59.000","754","106546"
"9446941","Scioto","2020-06-01 04:19:37.000","2020-07-17 10:28:20.000","1040","94868"
"8710023","cuemapper","2020-06-01 02:34:29.000","2020-07-15 11:35:40.000","24","640"
"11414884","Geeth_R","2020-07-03 06:52:27.000","2020-07-08 05:49:11.000","3","16"
"11459619","Sarahkwek","2020-07-08 06:39:38.000","2020-07-08 06:48:29.000","2","683"
"9535062","IleDeLaTortue","2020-06-01 04:32:22.000","2020-07-17 12:44:56.000","1394","123498"
"11187437","EtenIsland","2020-06-17 03:55:36.000","2020-07-14 10:41:03.000","32","3708"
"9446976","Holston","2020-06-01 06:44:58.000","2020-07-17 12:10:02.000","218","12640"
"11073774","ConnorMaps","2020-05-26 18:40:27.000","2020-07-18 00:02:17.000","536","51318"
"9225250","BalconesEscarpment","2020-06-01 06:13:17.000","2020-07-17 07:37:29.000","245","10787"
"10529336","Breithorn","2020-06-01 04:14:31.000","2020-07-18 07:16:58.000","427","54049"
"11387704","QueensPark","2020-07-13 05:50:14.000","2020-07-17 10:37:04.000","70","8365"
"10810982","KaruraForest","2020-06-01 04:25:14.000","2020-07-17 11:41:09.000","1105","128639"
"10888785","BarwonRiver","2020-06-01 06:00:40.000","2020-07-17 11:57:45.000","384","57068"
"9625546","Wynwood","2020-06-01 06:13:52.000","2020-07-17 12:06:05.000","285","57282"
"10210200","VashonVashoff","2020-06-01 09:36:38.000","2020-07-17 10:18:42.000","174","6056"
"11225886","mullica_q","2020-05-29 22:53:18.000","2020-07-17 22:42:54.000","411","69408"
"11187768","VolgaDonCanal","2020-06-03 04:55:12.000","2020-07-17 11:47:47.000","250","37144"
"11244311","Shi Ling","2020-05-26 07:13:56.000","2020-05-26 07:56:41.000","26","148"
"11459061","QIUZHONG","2020-07-08 05:45:19.000","2020-07-08 06:52:30.000","13","968"
"10278878","SarekPark","2020-06-01 04:46:41.000","2020-07-17 11:51:49.000","713","58725"
"10074528","McMurd0Station","2020-06-01 05:30:36.000","2020-07-17 11:20:41.000","566","55586"
"10334758","Chagodoshcha","2020-06-01 08:01:39.000","2020-07-17 05:45:12.000","427","16515"
"9389012","MarcyAve","2020-06-01 04:43:53.000","2020-07-17 10:46:38.000","871","61284"
"10653292","BelleIsle","2020-06-01 05:21:54.000","2020-07-17 12:03:10.000","943","76766"
"9847848","Guadiana","2020-06-01 06:16:40.000","2020-07-17 12:54:25.000","939","74071"
"10210124","Podil","2020-06-01 05:06:03.000","2020-07-17 12:16:19.000","748","106158"
"9090204","SutroTower","2020-06-03 09:07:24.000","2020-07-16 13:17:35.000","161","37781"
"10811187","Kalixalven","2020-06-01 05:30:40.000","2020-07-17 08:23:04.000","408","50723"
"10892562","Szrenica","2020-06-01 05:41:29.000","2020-07-17 06:27:21.000","466","43575"
"10019169","Ometepe","2020-06-01 05:28:18.000","2020-07-17 12:18:36.000","656","149758"
"9320708","Hoyt_Schermerhorn","2020-06-01 08:41:14.000","2020-07-17 09:16:47.000","94","729"
"10461085","CapitolHill","2020-06-01 05:04:56.000","2020-07-17 11:24:35.000","504","38021"
"8709998","SpatialInterest","2020-06-01 06:53:10.000","2020-07-17 13:10:52.000","172","3360"
"7449637","Deer_24","2020-06-01 04:44:06.000","2020-06-01 04:44:06.000","1","1"
"10811374","Faxalven","2020-06-01 05:37:54.000","2020-07-17 12:18:50.000","672","79378"
"10142222","ZilkerPark","2020-06-01 05:43:24.000","2020-07-17 11:54:26.000","557","80800"
"9225287","Sognefjord","2020-06-03 12:39:48.000","2020-07-14 10:45:09.000","19","153"
"9535306","Ialomita","2020-06-01 06:43:14.000","2020-07-17 09:46:05.000","494","54328"
"10409631","Malioboro","2020-06-01 06:18:51.000","2020-07-17 08:31:05.000","411","16032"
"8076764","Tauntaun","2020-06-01 04:02:31.000","2020-07-17 10:35:43.000","110","31856"
"10334717","PikesPeak","2020-06-01 07:01:54.000","2020-07-17 10:34:32.000","445","46564"
"10653034","Faxafloi","2020-06-01 03:44:23.000","2020-07-17 12:48:22.000","585","46281"
"7629872","pani_rani","2020-06-03 13:02:31.000","2020-07-17 14:37:37.000","59","857"
"10210182","Kaferberg","2020-06-01 04:41:58.000","2020-07-17 12:54:22.000","392","50133"
"10653342","BerneseAlps","2020-06-01 06:01:38.000","2020-07-17 12:58:38.000","388","52425"
"10656918","Highveld","2020-06-01 08:37:11.000","2020-07-17 11:35:08.000","450","29312"
"9847933","TheDalles","2020-06-01 04:49:29.000","2020-07-17 05:22:32.000","221","57763"
