"changesets","hot_or_not","users_hist","total_changes","week","a3"
"84","{false=52, true=2}","{9395917=35, 1621340=19, 250487=5, 12081501=1, 109705=5, 10019169=6, 10866444=1, 12074931=1, 9446732=11}","4550","2020-10-26 00:00:00.000","NIC"
"142","{false=1}","{11148747=1, 3290160=2, 11143881=3, 6815820=1, 1414128=1, 5732400=3, 11154471=5, 616774=1, 11127289=9, 4693111=1, 86865=2, 8782068=1, 11040700=4, 10228232=6, 11123262=1, 1104904=96, 8782077=1, 174270=3, 11110964=1}","4277","2020-05-04 00:00:00.000","CRI"
"153","{false=23}","{175168=5, 6880170=17, 10180696=1, 8792833=3, 109705=2, 6259190=1, 8314676=23, 4329166=14, 10163146=1, 10549170=2, 10228232=5, 2237750=2, 10705110=1, 1104904=49, 4639326=1, 437598=1, 10715321=4, 10501050=1, 10700735=2, 174270=17, 10725119=1}","6080","2020-01-27 00:00:00.000","CRI"
"4",,"{7366742=1, 8022499=1, 4751364=2}","517","2019-12-16 00:00:00.000","BLZ"
"2543","{false=53, true=134}","{8813958=17, 8422276=1, 6910829=1, 658700=2, 8874880=1, 8740237=9, 8369526=1, 6794350=11, 4837698=1, 8127856=1, 6651752=3, 7838328=21, 6794615=9, 8854933=4, 2237750=46, 8374121=1, 7125360=1, 3228972=4, 8890010=4, 1251378=2, 8875685=3, 7426644=5, 5191786=3, 1979704=2, 8870829=3, 8870828=10, 8133719=1, 3069699=1, 8870313=1, 8570285=4, 7646784=4, 8870835=12, 3799308=1, 8876209=1, 5181305=1, 4185606=1, 7563855=8, 330562=7, 8324918=2, 8865997=2, 8879820=2, 4433679=11, 3153532=2, 2104173=11, 6795050=6, 6775337=25, 8870856=4, 616774=1, 8859350=1, 6795062=16, 8689877=1, 2124913=333, 8867029=1, 4798490=1, 7121215=2, 8846034=1, 7121977=14, 5152027=1, 8454868=1, 663900=43, 7127605=2, 8857822=10, 8773086=3, 798807=1, 8870876=68, 6748986=7, 8672728=1, 3414122=1, 6766137=153, 8636899=2, 8824806=2, 7441424=3, 564585=5, 1722488=2, 6398212=4, 8650725=1, 8870881=3, 6504202=4, 7126533=1, 6791180=14, 8870892=3, 2483272=1, 8650733=2, 6794760=4, 8870390=1, 6791190=5, 8148495=2, 8866035=1, 3157573=2, 5009209=7, 8741104=2, 4845363=1, 3061076=3, 6791707=7, 103037=2, 8846840=3, 7622922=2, 4847561=1, 8876804=2, 6584556=9, 7422968=9, 8637706=3, 8845069=12, 8690447=4, 8881164=10, 507276=1, 2302638=4, 3643321=7, 8880405=2, 2927295=340, 8862994=5, 6743283=1, 7709408=1, 4411605=1, 176538=4, 7620588=154, 7423211=2, 8818717=5, 3801505=4, 5973959=17, 8878630=1, 5178860=1, 8478501=1, 8853807=19, 3286425=26, 8876842=1, 8558636=114, 6264047=22, 3031704=7, 8240071=1, 8858937=5, 497849=2, 6736344=3, 5183375=1, 7664308=4, 5734037=3, 8869443=1, 8867407=1, 8885582=1, 8881228=2, 8636239=1, 7044262=7, 8718155=46, 8888393=2, 8618066=7, 533465=3, 8156072=16, 1910727=374, 6208132=6, 8524633=1, 7606447=1, 1239502=5, 2896078=22, 8476263=1, 8871009=4, 4518563=3, 6791567=4, 8778605=6, 4051669=1, 577249=1, 8683374=1, 8871020=3, 680673=28, 8872043=1, 8889962=6, 6117299=1, 8871016=6, 7509149=1, 1674230=1, 119790=6, 123633=3, 8881269=1, 6346387=52, 288752=1, 7426439=3, 8889457=5, 8885375=1, 7130005=1, 7425672=8, 7425931=25, 8763257=3, 3715012=20, 7431052=2, 2835670=15}","77743","2018-09-24 00:00:00.000","MEX"
"42",,"{4115486=3, 5587605=1, 19488=2, 5284821=1, 2413418=1, 4830183=1, 225842=3, 5044669=1, 5065983=1, 339581=9, 3450220=3, 5367178=1, 4351550=8, 3783140=2, 5593768=1, 4284415=4}","201","2017-03-27 00:00:00.000","NIC"
"72",,"{207745=1, 574145=1, 136969=1, 573957=3, 56657=1, 572122=2, 395925=3, 355933=9, 328158=1, 62817=4, 45027=1, 64805=3, 13413=2, 565806=1, 329453=2, 562721=1, 357548=2, 101422=17, 170227=3, 288752=6, 572028=1, 573564=1, 234484=1, 570608=2, 258237=1, 31231=2}","8985","2011-12-19 00:00:00.000","MEX"
"3",,"{575260=1, 575298=1, 575317=1}","11","2011-12-26 00:00:00.000","HND"
"227","{false=44}","{9464496=2, 7160908=121, 8867110=8, 183878=2, 402624=3, 4104055=1, 7623034=3, 7587325=1, 248722=2, 8943003=42, 9395900=36, 5067070=3, 3427745=1, 10176227=1, 6506939=1}","14792","2019-07-22 00:00:00.000","PAN"
"46",,"{4948889=34, 4507117=1, 4954914=1, 2102012=9, 4760005=1}","199","2016-12-05 00:00:00.000","HND"
