country,Non-Local Mappers,Local Mappers,Total Users,Total Changesets,Local Changesets,Non-Local Changesets,< 42 Days Editing,>= 42 Days Editing
Afghanistan,45.0,22.0,61,6777,1933,4844,21.0,40.0
Albania,28.0,12.0,40,141,58,83,17.0,23.0
Algeria,26.0,75.0,100,2291,2207,84,80.0,20.0
Angola,22.0,11.0,33,415,275,140,19.0,14.0
Argentina,53.0,186.0,239,3510,3052,458,167.0,72.0
Armenia,28.0,24.0,51,474,355,119,23.0,28.0
Australia,86.0,381.0,467,7796,7281,515,316.0,151.0
Austria,181.0,442.0,565,10050,8297,1753,379.0,186.0
Azerbaijan,41.0,18.0,57,648,339,309,28.0,29.0
Bangladesh,268.0,626.0,892,10617,5430,5187,776.0,116.0
Belarus,77.0,181.0,238,4385,2051,2334,155.0,83.0
Belgium,165.0,367.0,514,11946,9994,1952,340.0,174.0
Belize,15.0,2.0,17,197,25,172,4.0,13.0
Benin,22.0,2.0,24,230,112,118,16.0,8.0
Bhutan,15.0,6.0,20,47,19,28,8.0,12.0
Bolivia,28.0,47.0,71,1305,1167,138,50.0,21.0
Bosnia and Herzegovina,26.0,28.0,52,777,593,184,23.0,29.0
Botswana,168.0,147.0,314,2032,745,1287,284.0,30.0
Brazil,212.0,698.0,907,36702,24743,11959,542.0,365.0
Brunei,29.0,3.0,32,110,56,54,8.0,24.0
Bulgaria,39.0,64.0,100,1534,1131,403,63.0,37.0
Burkina Faso,84.0,32.0,115,716,364,352,95.0,20.0
Burundi,5.0,30.0,35,705,695,10,26.0,9.0
Cambodia,60.0,16.0,76,418,97,321,17.0,59.0
Cameroon,37.0,16.0,51,332,142,190,30.0,21.0
Canada,174.0,483.0,628,10887,9132,1755,445.0,183.0
Central African Republic,29.0,13.0,40,260,145,115,23.0,17.0
Chad,83.0,31.0,100,880,303,577,88.0,12.0
Chile,50.0,104.0,151,1795,1437,358,103.0,48.0
China,132.0,278.0,409,6762,5550,1212,220.0,189.0
Colombia,140.0,176.0,314,2903,1841,1062,245.0,69.0
Costa Rica,27.0,30.0,57,790,652,138,34.0,23.0
Croatia,67.0,69.0,133,2662,1885,777,71.0,62.0
Cuba,16.0,93.0,109,760,681,79,91.0,18.0
Cyprus,12.0,11.0,23,128,44,84,12.0,11.0
Czech Republic,167.0,268.0,370,6325,5176,1149,228.0,142.0
Democratic Republic of the Congo,171.0,145.0,310,4257,2306,1951,229.0,81.0
Denmark,107.0,158.0,256,8642,5538,3104,166.0,90.0
Djibouti,3.0,,3,12,0,12,,3.0
Dominican Republic,19.0,6.0,25,185,118,67,10.0,15.0
East Timor,8.0,2.0,10,184,162,22,4.0,6.0
Ecuador,48.0,104.0,152,5380,456,4924,96.0,56.0
Egypt,37.0,54.0,91,1423,1263,160,47.0,44.0
El Salvador,26.0,17.0,38,255,137,118,17.0,21.0
Equatorial Guinea,3.0,1.0,4,9,1,8,1.0,3.0
Eritrea,7.0,,7,46,0,46,2.0,5.0
Estonia,14.0,34.0,48,461,427,34,30.0,18.0
Ethiopia,34.0,35.0,69,722,240,482,44.0,25.0
Falkland Islands,3.0,1.0,4,97,12,85,,4.0
Fiji,2.0,1.0,3,8,2,6,2.0,1.0
Finland,54.0,203.0,256,3702,3428,274,166.0,90.0
France,525.0,2232.0,2694,69986,62406,7580,1941.0,753.0
Gabon,8.0,,8,31,0,31,3.0,5.0
Gambia,7.0,,7,54,0,54,5.0,2.0
Georgia,33.0,39.0,69,838,525,313,35.0,34.0
Germany,979.0,4851.0,5429,124566,109131,15435,4012.0,1417.0
Ghana,69.0,44.0,110,2149,1415,734,67.0,43.0
Greece,72.0,106.0,178,5701,4284,1417,100.0,78.0
Greenland,5.0,1.0,6,6,1,5,3.0,3.0
Guatemala,28.0,27.0,52,155,59,96,30.0,22.0
Guinea,16.0,35.0,50,1254,1083,171,36.0,14.0
Guinea Bissau,4.0,,4,11,0,11,1.0,3.0
Guyana,22.0,2.0,24,157,95,62,15.0,9.0
Haiti,36.0,2.0,38,272,11,261,12.0,26.0
Honduras,76.0,26.0,101,1343,703,640,64.0,37.0
Hungary,156.0,224.0,297,7159,4508,2651,183.0,114.0
Iceland,11.0,13.0,24,311,241,70,11.0,13.0
India,376.0,1535.0,1902,44735,40294,4441,1604.0,298.0
Indonesia,499.0,1343.0,1841,29505,22507,6998,1629.0,212.0
Iran,83.0,301.0,382,6764,5334,1430,284.0,98.0
Iraq,95.0,713.0,749,2231,1947,284,707.0,42.0
Ireland,66.0,70.0,127,2593,2080,513,77.0,50.0
Israel,96.0,109.0,129,1386,754,632,97.0,32.0
Italy,453.0,1197.0,1483,29654,23792,5862,1045.0,438.0
Ivory Coast,19.0,10.0,29,103,60,43,18.0,11.0
Jamaica,35.0,12.0,47,204,46,158,33.0,14.0
Japan,50.0,408.0,458,7273,6929,344,303.0,155.0
Jordan,24.0,14.0,37,160,32,128,19.0,18.0
Kazakhstan,62.0,54.0,105,3987,3441,546,57.0,48.0
Kenya,93.0,171.0,264,2386,1810,576,230.0,34.0
Kosovo,38.0,24.0,62,302,155,147,50.0,12.0
Kuwait,13.0,8.0,19,174,9,165,11.0,8.0
Kyrgyzstan,29.0,11.0,32,149,35,114,20.0,12.0
Laos,60.0,6.0,65,313,91,222,10.0,55.0
Latvia,36.0,60.0,89,1313,1001,312,50.0,39.0
Lebanon,23.0,32.0,55,586,496,90,38.0,17.0
Lesotho,4.0,1.0,4,29,2,27,2.0,2.0
Liberia,7.0,2.0,9,62,14,48,5.0,4.0
Libya,30.0,32.0,61,16661,16577,84,48.0,13.0
Lithuania,38.0,64.0,87,1360,1063,297,47.0,40.0
Luxembourg,46.0,40.0,86,982,770,212,46.0,40.0
Macedonia,26.0,14.0,40,1421,1339,82,20.0,20.0
Madagascar,38.0,30.0,68,2663,2519,144,50.0,18.0
Malawi,174.0,73.0,247,2504,1896,608,226.0,21.0
Malaysia,105.0,71.0,175,6793,2040,4753,68.0,107.0
Mali,116.0,57.0,172,3102,1534,1568,102.0,70.0
Mauritania,32.0,11.0,43,319,219,100,35.0,8.0
Mexico,311.0,357.0,666,42790,27865,14925,245.0,421.0
Moldova,23.0,32.0,51,520,427,93,28.0,23.0
Mongolia,370.0,327.0,697,4404,2625,1779,650.0,47.0
Montenegro,24.0,9.0,31,126,44,82,10.0,21.0
Morocco,43.0,28.0,70,956,524,432,44.0,26.0
Mozambique,38.0,5.0,43,637,364,273,21.0,22.0
Myanmar,145.0,65.0,209,2969,535,2434,91.0,118.0
Namibia,33.0,72.0,104,893,616,277,88.0,16.0
Nepal,212.0,199.0,388,9132,6810,2322,251.0,137.0
Netherlands,274.0,500.0,745,13729,10757,2972,454.0,291.0
New Caledonia,11.0,10.0,21,150,69,81,10.0,11.0
New Zealand,48.0,88.0,136,2707,2068,639,90.0,46.0
Nicaragua,18.0,13.0,31,226,178,48,12.0,19.0
Niger,96.0,75.0,169,1004,699,305,149.0,20.0
Nigeria,80.0,55.0,135,1829,816,1013,93.0,42.0
North Korea,17.0,6.0,23,105,47,58,10.0,13.0
Northern Cyprus,33.0,4.0,33,417,91,326,13.0,20.0
Norway,61.0,119.0,178,2742,2061,681,91.0,87.0
Oman,18.0,3.0,20,693,13,680,5.0,15.0
Pakistan,78.0,70.0,146,1100,768,332,96.0,50.0
Palestine,157.0,72.0,157,1632,550,1082,123.0,34.0
Panama,27.0,14.0,41,456,297,159,18.0,23.0
Papua New Guinea,60.0,5.0,65,1009,226,783,11.0,54.0
Paraguay,51.0,33.0,72,901,555,346,32.0,40.0
Peru,61.0,85.0,146,3232,2752,480,94.0,52.0
Philippines,547.0,519.0,1066,51873,23748,28125,776.0,290.0
Poland,225.0,943.0,1127,32517,29779,2738,767.0,360.0
Portugal,90.0,144.0,218,3109,2439,670,132.0,86.0
Puerto Rico,12.0,14.0,26,77,55,22,12.0,14.0
Qatar,20.0,7.0,27,351,64,287,8.0,19.0
Republic of Congo,22.0,6.0,27,127,25,102,9.0,18.0
Republic of Serbia,88.0,72.0,157,2542,1777,765,82.0,75.0
Romania,126.0,145.0,227,4834,3014,1820,139.0,88.0
Russia,245.0,1319.0,1548,28703,26382,2321,1096.0,452.0
Rwanda,25.0,11.0,36,493,325,168,23.0,13.0
Saudi Arabia,46.0,121.0,163,1195,862,333,124.0,39.0
Senegal,36.0,16.0,52,287,138,149,35.0,17.0
Sierra Leone,15.0,3.0,17,61,9,52,7.0,10.0
Slovakia,153.0,132.0,255,4328,2214,2114,135.0,120.0
Slovenia,87.0,68.0,155,1798,1098,700,85.0,70.0
Solomon Islands,9.0,,9,55,0,55,6.0,3.0
Somalia,307.0,197.0,500,4581,2087,2494,461.0,39.0
Somaliland,40.0,28.0,42,1219,684,535,34.0,8.0
South Africa,77.0,90.0,164,3024,2301,723,86.0,78.0
