,Users,Users,Changesets,Changesets,Edits,Edits,Users with > 1 day,Users with > 1 day,Changesets from users with > 1 day,Changesets from users with > 1 day,Editsfrom users with > 1 day,Editsfrom users with > 1 day,Users with >= 42 Days,Users with >= 42 Days,Changesets from users with >= 42 days,Changesets from users with >= 42 days,Edits from users with >= 42 days,Edits from users with >= 42 days
is_local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,< 42 Days,">=42 Days
(""Active Contributors"")",< 42 Days,">=42 Days
(""Active Contributors"")",< 42 Days,">=42 Days
(""Active Contributors"")"
country,,,,,,,,,,,,,,,,,,
Afghanistan,386.0,116.0,13447.0,18539.0,2105091.0,4776650.0,365.0,52.0,13419.0,18142.0,2104525.0,4770417.0,251.0,251.0,4207.0,27779.0,690773.0,6190968.0
Albania,407.0,158.0,7159.0,2380.0,911550.0,319768.0,366.0,46.0,7063.0,2184.0,905443.0,314729.0,345.0,220.0,2149.0,7390.0,113349.0,1117969.0
Algeria,468.0,786.0,6926.0,30235.0,907017.0,1654839.0,438.0,264.0,6862.0,29121.0,904955.0,1637996.0,951.0,303.0,8414.0,28747.0,247413.0,2314443.0
American Samoa,28.0,,111.0,,14205.0,,28.0,,111.0,,14205.0,,3.0,25.0,11.0,100.0,38.0,14167.0
Andorra,159.0,13.0,645.0,23.0,48851.0,147.0,140.0,2.0,609.0,6.0,48208.0,17.0,84.0,88.0,246.0,422.0,9752.0,39246.0
Angola,529.0,270.0,7439.0,5270.0,1685272.0,949949.0,468.0,93.0,7244.0,4406.0,1653673.0,874162.0,539.0,260.0,4353.0,8356.0,623909.0,2011312.0
Anguilla,87.0,1.0,1413.0,3.0,100438.0,45.0,86.0,1.0,1412.0,3.0,100437.0,45.0,20.0,68.0,218.0,1198.0,9641.0,90842.0
Antarctica,91.0,9.0,185.0,126.0,5088.0,7551.0,79.0,6.0,172.0,122.0,4804.0,7528.0,45.0,55.0,221.0,90.0,8150.0,4489.0
Antigua and Barbuda,55.0,6.0,446.0,10.0,8035.0,85.0,55.0,1.0,446.0,3.0,8035.0,72.0,24.0,37.0,259.0,197.0,1102.0,7018.0
Argentina,913.0,1703.0,23187.0,64645.0,3181998.0,8672978.0,778.0,572.0,22937.0,61819.0,3177101.0,8608060.0,2119.0,497.0,19145.0,68687.0,1539378.0,10315598.0
