"week","new_buildings","users"
"2011-09-19 00:00:00.000","213","3"
"2011-10-03 00:00:00.000","10","2"
"2011-10-24 00:00:00.000","4","1"
"2011-10-31 00:00:00.000","430","4"
"2011-11-07 00:00:00.000","192","3"
"2011-11-14 00:00:00.000","54","1"
"2011-11-21 00:00:00.000","29","1"
"2011-12-05 00:00:00.000","1429","5"
"2011-12-12 00:00:00.000","1419","8"
"2011-12-19 00:00:00.000","640","2"
"2011-12-26 00:00:00.000","571","1"
"2012-01-02 00:00:00.000","620","1"
"2012-01-09 00:00:00.000","240","1"
"2012-01-16 00:00:00.000","373","1"
"2012-01-23 00:00:00.000","488","1"
"2012-01-30 00:00:00.000","1075","1"
"2012-02-06 00:00:00.000","1428","2"
"2012-02-13 00:00:00.000","741","3"
"2012-02-20 00:00:00.000","1496","3"
"2012-02-27 00:00:00.000","601","1"
"2012-03-12 00:00:00.000","197","1"
"2012-03-19 00:00:00.000","531","1"
"2012-03-26 00:00:00.000","827","2"
"2012-04-09 00:00:00.000","1231","1"
"2012-04-16 00:00:00.000","2210","1"
"2012-04-23 00:00:00.000","3603","1"
"2012-04-30 00:00:00.000","1391","2"
"2012-05-07 00:00:00.000","2037","2"
"2012-05-14 00:00:00.000","553","1"
"2012-05-21 00:00:00.000","506","1"
"2012-05-28 00:00:00.000","1627","2"
"2012-06-04 00:00:00.000","1001","3"
"2012-06-11 00:00:00.000","2819","1"
"2012-06-18 00:00:00.000","1033","1"
"2012-06-25 00:00:00.000","444","2"
"2012-07-02 00:00:00.000","410","2"
"2012-07-09 00:00:00.000","509","2"
"2012-07-16 00:00:00.000","67","2"
"2012-07-23 00:00:00.000","571","1"
"2012-07-30 00:00:00.000","2402","1"
"2012-08-06 00:00:00.000","1380","2"
"2012-08-13 00:00:00.000","3420","6"
"2012-08-20 00:00:00.000","2762","5"
"2012-08-27 00:00:00.000","1182","3"
"2012-09-03 00:00:00.000","1437","4"
"2012-09-10 00:00:00.000","1849","1"
"2012-09-17 00:00:00.000","1745","1"
"2012-09-24 00:00:00.000","2594","1"
"2012-10-01 00:00:00.000","2423","2"
"2012-10-08 00:00:00.000","1272","1"
"2012-10-15 00:00:00.000","1660","2"
"2012-10-22 00:00:00.000","1056","1"
"2012-10-29 00:00:00.000","554","1"
"2012-11-05 00:00:00.000","2276","4"
"2012-11-12 00:00:00.000","448","2"
"2012-11-19 00:00:00.000","215","1"
"2012-11-26 00:00:00.000","274","4"
"2012-12-03 00:00:00.000","9061","11"
"2012-12-10 00:00:00.000","17573","19"
"2012-12-17 00:00:00.000","7054","14"
"2012-12-24 00:00:00.000","3351","15"
"2012-12-31 00:00:00.000","12573","23"
"2013-01-07 00:00:00.000","7388","18"
"2013-01-14 00:00:00.000","6043","11"
"2013-01-21 00:00:00.000","6182","22"
"2013-01-28 00:00:00.000","2075","24"
"2013-02-04 00:00:00.000","5173","24"
"2013-02-11 00:00:00.000","512","13"
"2013-02-18 00:00:00.000","4365","14"
"2013-02-25 00:00:00.000","8690","18"
"2013-03-04 00:00:00.000","25937","22"
"2013-03-11 00:00:00.000","13115","16"
"2013-03-18 00:00:00.000","10256","14"
"2013-03-25 00:00:00.000","14732","15"
"2013-04-01 00:00:00.000","5362","15"
"2013-04-08 00:00:00.000","3142","14"
"2013-04-15 00:00:00.000","2134","14"
"2013-04-22 00:00:00.000","2576","14"
"2013-04-29 00:00:00.000","1803","6"
"2013-05-06 00:00:00.000","867","7"
"2013-05-13 00:00:00.000","233","5"
"2013-05-20 00:00:00.000","287","7"
"2013-05-27 00:00:00.000","7","2"
"2013-06-03 00:00:00.000","1173","3"
"2013-06-10 00:00:00.000","236","4"
"2013-06-17 00:00:00.000","1050","7"
"2013-06-24 00:00:00.000","4092","18"
"2013-07-01 00:00:00.000","2081","8"
"2013-07-08 00:00:00.000","5576","23"
"2013-07-15 00:00:00.000","1516","8"
"2013-07-22 00:00:00.000","995","8"
"2013-07-29 00:00:00.000","1201","6"
"2013-08-05 00:00:00.000","3621","15"
"2013-08-12 00:00:00.000","3201","14"
"2013-08-19 00:00:00.000","2744","12"
"2013-08-26 00:00:00.000","2496","15"
"2013-09-02 00:00:00.000","984","9"
"2013-09-09 00:00:00.000","1038","17"
"2013-09-16 00:00:00.000","1517","13"
"2013-09-23 00:00:00.000","5188","14"
"2013-09-30 00:00:00.000","2664","11"
"2013-10-07 00:00:00.000","3089","26"
"2013-10-14 00:00:00.000","5499","22"
"2013-10-21 00:00:00.000","2443","7"
"2013-10-28 00:00:00.000","2493","10"
"2013-11-04 00:00:00.000","4796","20"
"2013-11-11 00:00:00.000","36111","70"
"2013-11-18 00:00:00.000","22088","36"
"2013-11-25 00:00:00.000","12087","35"
"2013-12-02 00:00:00.000","10045","26"
"2013-12-09 00:00:00.000","9031","30"
"2013-12-16 00:00:00.000","5379","26"
"2013-12-23 00:00:00.000","26962","30"
"2013-12-30 00:00:00.000","12073","30"
"2014-01-06 00:00:00.000","14461","28"
"2014-01-13 00:00:00.000","17383","54"
"2014-01-20 00:00:00.000","15689","44"
"2014-01-27 00:00:00.000","19099","53"
"2014-02-03 00:00:00.000","32189","63"
"2014-02-10 00:00:00.000","26505","59"
"2014-02-17 00:00:00.000","17014","39"
"2014-02-24 00:00:00.000","13747","29"
"2014-03-03 00:00:00.000","10057","27"
"2014-03-10 00:00:00.000","12048","31"
"2014-03-17 00:00:00.000","23786","63"
"2014-03-24 00:00:00.000","88611","178"
"2014-03-31 00:00:00.000","52886","117"
"2014-04-07 00:00:00.000","13211","64"
"2014-04-14 00:00:00.000","24561","105"
"2014-04-21 00:00:00.000","16910","77"
"2014-04-28 00:00:00.000","19362","64"
"2014-05-05 00:00:00.000","15547","51"
"2014-05-12 00:00:00.000","14860","46"
"2014-05-19 00:00:00.000","13263","53"
"2014-05-26 00:00:00.000","7600","55"
"2014-06-02 00:00:00.000","6147","50"
"2014-06-09 00:00:00.000","4288","33"
"2014-06-16 00:00:00.000","5446","42"
"2014-06-23 00:00:00.000","27832","51"
"2014-06-30 00:00:00.000","34864","72"
"2014-07-07 00:00:00.000","41433","73"
"2014-07-14 00:00:00.000","30535","93"
"2014-07-21 00:00:00.000","28858","83"
"2014-07-28 00:00:00.000","29539","86"
"2014-08-04 00:00:00.000","46045","142"
"2014-08-11 00:00:00.000","48949","128"
"2014-08-18 00:00:00.000","50972","144"
"2014-08-25 00:00:00.000","49654","144"
"2014-09-01 00:00:00.000","25820","94"
"2014-09-08 00:00:00.000","26734","104"
"2014-09-15 00:00:00.000","36449","84"
"2014-09-22 00:00:00.000","27022","85"
"2014-09-29 00:00:00.000","40793","149"
"2014-10-06 00:00:00.000","30584","135"
"2014-10-13 00:00:00.000","59141","218"
"2014-10-20 00:00:00.000","50352","245"
"2014-10-27 00:00:00.000","44270","341"
"2014-11-03 00:00:00.000","39063","439"
"2014-11-10 00:00:00.000","42513","314"
"2014-11-17 00:00:00.000","35787","327"
"2014-11-24 00:00:00.000","37186","268"
"2014-12-01 00:00:00.000","46405","287"
"2014-12-08 00:00:00.000","43087","193"
"2014-12-15 00:00:00.000","39148","217"
"2014-12-22 00:00:00.000","18576","83"
"2014-12-29 00:00:00.000","26528","76"
"2015-01-05 00:00:00.000","20134","147"
"2015-01-12 00:00:00.000","23960","196"
"2015-01-19 00:00:00.000","43313","275"
"2015-01-26 00:00:00.000","35973","202"
"2015-02-02 00:00:00.000","28012","168"
"2015-02-09 00:00:00.000","44057","251"
"2015-02-16 00:00:00.000","55987","200"
"2015-02-23 00:00:00.000","51615","289"
"2015-03-02 00:00:00.000","29359","164"
"2015-03-09 00:00:00.000","45068","221"
"2015-03-16 00:00:00.000","51883","202"
"2015-03-23 00:00:00.000","53126","430"
"2015-03-30 00:00:00.000","44330","251"
"2015-04-06 00:00:00.000","36170","311"
"2015-04-13 00:00:00.000","27235","247"
"2015-04-20 00:00:00.000","50809","529"
"2015-04-27 00:00:00.000","526633","3178"
"2015-05-04 00:00:00.000","409252","1194"
"2015-05-11 00:00:00.000","253374","994"
"2015-05-18 00:00:00.000","212273","612"
"2015-05-25 00:00:00.000","205409","379"
"2015-06-01 00:00:00.000","179963","368"
"2015-06-08 00:00:00.000","118561","309"
"2015-06-15 00:00:00.000","134587","289"
"2015-06-22 00:00:00.000","157277","202"
"2015-06-29 00:00:00.000","117116","181"
"2015-07-06 00:00:00.000","101785","175"
"2015-07-13 00:00:00.000","78515","185"
"2015-07-20 00:00:00.000","97813","194"
"2015-07-27 00:00:00.000","90669","170"
"2015-08-03 00:00:00.000","125071","239"
"2015-08-10 00:00:00.000","118250","274"
"2015-08-17 00:00:00.000","97803","235"
"2015-08-24 00:00:00.000","75895","226"
"2015-08-31 00:00:00.000","56401","214"
"2015-09-07 00:00:00.000","37513","261"
"2015-09-14 00:00:00.000","42854","270"
"2015-09-21 00:00:00.000","48980","222"
"2015-09-28 00:00:00.000","49789","256"
"2015-10-05 00:00:00.000","62355","402"
"2015-10-12 00:00:00.000","48058","267"
"2015-10-19 00:00:00.000","113603","622"
"2015-10-26 00:00:00.000","75227","457"
"2015-11-02 00:00:00.000","58532","411"
"2015-11-09 00:00:00.000","82943","456"
"2015-11-16 00:00:00.000","158337","1300"
"2015-11-23 00:00:00.000","78750","383"
"2015-11-30 00:00:00.000","51196","431"
"2015-12-07 00:00:00.000","39280","271"
"2015-12-14 00:00:00.000","66710","262"
"2015-12-21 00:00:00.000","39952","115"
"2015-12-28 00:00:00.000","61080","124"
"2016-01-04 00:00:00.000","112378","286"
"2016-01-11 00:00:00.000","69655","287"
"2016-01-18 00:00:00.000","85402","347"
"2016-01-25 00:00:00.000","79735","453"
"2016-02-01 00:00:00.000","83966","563"
"2016-02-08 00:00:00.000","129392","439"
"2016-02-15 00:00:00.000","155581","506"
"2016-02-22 00:00:00.000","167324","595"
"2016-02-29 00:00:00.000","175463","671"
"2016-03-07 00:00:00.000","113541","505"
"2016-03-14 00:00:00.000","124619","486"
"2016-03-21 00:00:00.000","186824","582"
"2016-03-28 00:00:00.000","165550","480"
"2016-04-04 00:00:00.000","260845","615"
"2016-04-11 00:00:00.000","298805","807"
"2016-04-18 00:00:00.000","433512","2279"
"2016-04-25 00:00:00.000","213318","1122"
"2016-05-02 00:00:00.000","177881","592"
"2016-05-09 00:00:00.000","224465","653"
"2016-05-16 00:00:00.000","301913","909"
"2016-05-23 00:00:00.000","274726","549"
"2016-05-30 00:00:00.000","113524","453"
"2016-06-06 00:00:00.000","132760","487"
"2016-06-13 00:00:00.000","106055","604"
"2016-06-20 00:00:00.000","118487","1181"
"2016-06-27 00:00:00.000","101517","755"
"2016-07-04 00:00:00.000","95638","471"
"2016-07-11 00:00:00.000","113732","580"
"2016-07-18 00:00:00.000","83859","570"
"2016-07-25 00:00:00.000","102934","550"
"2016-08-01 00:00:00.000","94003","444"
"2016-08-08 00:00:00.000","74595","397"
"2016-08-15 00:00:00.000","75666","363"
"2016-08-22 00:00:00.000","68321","359"
"2016-08-29 00:00:00.000","72592","331"
"2016-09-05 00:00:00.000","126644","621"
"2016-09-12 00:00:00.000","159900","736"
"2016-09-19 00:00:00.000","225846","786"
"2016-09-26 00:00:00.000","177330","667"
"2016-10-03 00:00:00.000","300255","1702"
"2016-10-10 00:00:00.000","327656","1877"
"2016-10-17 00:00:00.000","188666","1194"
"2016-10-24 00:00:00.000","180031","988"
"2016-10-31 00:00:00.000","232458","1057"
"2016-11-07 00:00:00.000","293714","1381"
"2016-11-14 00:00:00.000","394951","2575"
"2016-11-21 00:00:00.000","229513","703"
"2016-11-28 00:00:00.000","289142","748"
"2016-12-05 00:00:00.000","313910","921"
"2016-12-12 00:00:00.000","266470","648"
"2016-12-19 00:00:00.000","169146","456"
"2016-12-26 00:00:00.000","107938","258"
"2017-01-02 00:00:00.000","136460","421"
"2017-01-09 00:00:00.000","169354","510"
"2017-01-16 00:00:00.000","299597","605"
"2017-01-23 00:00:00.000","352957","1030"
"2017-01-30 00:00:00.000","258112","845"
"2017-02-06 00:00:00.000","317644","997"
"2017-02-13 00:00:00.000","295189","956"
"2017-02-20 00:00:00.000","341698","1214"
"2017-02-27 00:00:00.000","241753","1028"
"2017-03-06 00:00:00.000","280281","1107"
"2017-03-13 00:00:00.000","265925","1368"
"2017-03-20 00:00:00.000","378753","1322"
"2017-03-27 00:00:00.000","277799","1215"
"2017-04-03 00:00:00.000","276896","1228"
"2017-04-10 00:00:00.000","368857","1025"
"2017-04-17 00:00:00.000","529109","1034"
"2017-04-24 00:00:00.000","535509","1438"
"2017-05-01 00:00:00.000","342816","963"
"2017-05-08 00:00:00.000","395811","1057"
"2017-05-15 00:00:00.000","471261","1109"
"2017-05-22 00:00:00.000","384228","795"
"2017-05-29 00:00:00.000","539011","739"
"2017-06-05 00:00:00.000","513318","1021"
"2017-06-12 00:00:00.000","640867","1034"
"2017-06-19 00:00:00.000","641613","1132"
"2017-06-26 00:00:00.000","366499","1087"
"2017-07-03 00:00:00.000","563529","983"
"2017-07-10 00:00:00.000","553763","978"
"2017-07-17 00:00:00.000","480531","1029"
"2017-07-24 00:00:00.000","643172","1048"
"2017-07-31 00:00:00.000","639401","1560"
"2017-08-07 00:00:00.000","728916","1389"
"2017-08-14 00:00:00.000","625177","1283"
"2017-08-21 00:00:00.000","847112","2969"
"2017-08-28 00:00:00.000","719852","2307"
"2017-09-04 00:00:00.000","819370","2734"
"2017-09-11 00:00:00.000","587305","2415"
"2017-09-18 00:00:00.000","599132","2648"
"2017-09-25 00:00:00.000","711277","3026"
"2017-10-02 00:00:00.000","556599","2313"
"2017-10-09 00:00:00.000","507137","2988"
"2017-10-16 00:00:00.000","351387","2241"
"2017-10-23 00:00:00.000","702193","1870"
"2017-10-30 00:00:00.000","588260","1230"
"2017-11-06 00:00:00.000","388078","1344"
"2017-11-13 00:00:00.000","568377","2870"
"2017-11-20 00:00:00.000","221234","1176"
"2017-11-27 00:00:00.000","246109","1400"
"2017-12-04 00:00:00.000","254540","1047"
"2017-12-11 00:00:00.000","341256","1135"
"2017-12-18 00:00:00.000","280683","898"
"2017-12-25 00:00:00.000","212080","373"
"2018-01-01 00:00:00.000","192985","522"
"2018-01-08 00:00:00.000","365700","849"
"2018-01-15 00:00:00.000","348414","1003"
"2018-01-22 00:00:00.000","372242","896"
"2018-01-29 00:00:00.000","432041","1148"
"2018-02-05 00:00:00.000","387641","1154"
"2018-02-12 00:00:00.000","357164","1187"
"2018-02-19 00:00:00.000","381019","1187"
"2018-02-26 00:00:00.000","569259","1529"
"2018-03-05 00:00:00.000","692767","1477"
"2018-03-12 00:00:00.000","517341","1618"
"2018-03-19 00:00:00.000","620608","2354"
"2018-03-26 00:00:00.000","930221","1439"
"2018-04-02 00:00:00.000","990475","1290"
"2018-04-09 00:00:00.000","920263","1142"
"2018-04-16 00:00:00.000","918497","2098"
"2018-04-23 00:00:00.000","370063","1327"
"2018-04-30 00:00:00.000","438746","1135"
"2018-05-07 00:00:00.000","586307","1152"
"2018-05-14 00:00:00.000","510857","1519"
"2018-05-21 00:00:00.000","475047","1172"
"2018-05-28 00:00:00.000","869022","1192"
"2018-06-04 00:00:00.000","1272819","1327"
"2018-06-11 00:00:00.000","1004924","1636"
"2018-06-18 00:00:00.000","968164","1454"
"2018-06-25 00:00:00.000","911288","1057"
"2018-07-02 00:00:00.000","697254","1113"
"2018-07-09 00:00:00.000","665875","1173"
"2018-07-16 00:00:00.000","477480","969"
"2018-07-23 00:00:00.000","622276","1037"
"2018-07-30 00:00:00.000","611124","933"
