"week","new_buildings","users"
"2011-09-19 00:00:00.000","283","3"
"2011-10-03 00:00:00.000","190","2"
"2011-10-24 00:00:00.000","4","1"
"2011-10-31 00:00:00.000","507","4"
"2011-11-07 00:00:00.000","269","3"
"2011-11-14 00:00:00.000","54","1"
"2011-11-21 00:00:00.000","29","1"
"2011-11-28 00:00:00.000","1","1"
"2011-12-05 00:00:00.000","1523","5"
"2011-12-12 00:00:00.000","1592","8"
"2011-12-19 00:00:00.000","722","2"
"2011-12-26 00:00:00.000","638","1"
"2012-01-02 00:00:00.000","691","1"
"2012-01-09 00:00:00.000","505","1"
"2012-01-16 00:00:00.000","747","1"
"2012-01-23 00:00:00.000","822","1"
"2012-01-30 00:00:00.000","1188","1"
"2012-02-06 00:00:00.000","1456","2"
"2012-02-13 00:00:00.000","812","3"
"2012-02-20 00:00:00.000","1584","3"
"2012-02-27 00:00:00.000","915","1"
"2012-03-12 00:00:00.000","206","1"
"2012-03-19 00:00:00.000","605","1"
"2012-03-26 00:00:00.000","841","2"
"2012-04-09 00:00:00.000","1234","1"
"2012-04-16 00:00:00.000","2257","1"
"2012-04-23 00:00:00.000","3964","1"
"2012-04-30 00:00:00.000","1443","2"
"2012-05-07 00:00:00.000","2069","2"
"2012-05-14 00:00:00.000","566","1"
"2012-05-21 00:00:00.000","513","1"
"2012-05-28 00:00:00.000","1665","2"
"2012-06-04 00:00:00.000","1094","4"
"2012-06-11 00:00:00.000","3025","1"
"2012-06-18 00:00:00.000","1041","1"
"2012-06-25 00:00:00.000","480","2"
"2012-07-02 00:00:00.000","435","2"
"2012-07-09 00:00:00.000","517","2"
"2012-07-16 00:00:00.000","67","2"
"2012-07-23 00:00:00.000","571","1"
"2012-07-30 00:00:00.000","2475","1"
"2012-08-06 00:00:00.000","1471","2"
"2012-08-13 00:00:00.000","4949","6"
"2012-08-20 00:00:00.000","3152","6"
"2012-08-27 00:00:00.000","1379","4"
"2012-09-03 00:00:00.000","1682","5"
"2012-09-10 00:00:00.000","2311","1"
"2012-09-17 00:00:00.000","1849","1"
"2012-09-24 00:00:00.000","2757","2"
"2012-10-01 00:00:00.000","2515","2"
"2012-10-08 00:00:00.000","1322","1"
"2012-10-15 00:00:00.000","1677","2"
"2012-10-22 00:00:00.000","1061","1"
"2012-10-29 00:00:00.000","556","1"
"2012-11-05 00:00:00.000","2343","4"
"2012-11-12 00:00:00.000","484","3"
"2012-11-19 00:00:00.000","216","1"
"2012-11-26 00:00:00.000","449","4"
"2012-12-03 00:00:00.000","9593","11"
"2012-12-10 00:00:00.000","18855","21"
"2012-12-17 00:00:00.000","8757","14"
"2012-12-24 00:00:00.000","3940","15"
"2012-12-31 00:00:00.000","15346","24"
"2013-01-07 00:00:00.000","9568","18"
"2013-01-14 00:00:00.000","6285","11"
"2013-01-21 00:00:00.000","6632","24"
"2013-01-28 00:00:00.000","2426","24"
"2013-02-04 00:00:00.000","5923","26"
"2013-02-11 00:00:00.000","678","14"
"2013-02-18 00:00:00.000","6038","14"
"2013-02-25 00:00:00.000","10261","19"
"2013-03-04 00:00:00.000","27948","22"
"2013-03-11 00:00:00.000","13516","17"
"2013-03-18 00:00:00.000","14596","16"
"2013-03-25 00:00:00.000","18289","16"
"2013-04-01 00:00:00.000","7531","16"
"2013-04-08 00:00:00.000","4030","14"
"2013-04-15 00:00:00.000","2383","14"
"2013-04-22 00:00:00.000","3032","16"
"2013-04-29 00:00:00.000","1984","6"
"2013-05-06 00:00:00.000","913","7"
"2013-05-13 00:00:00.000","248","6"
"2013-05-20 00:00:00.000","406","7"
"2013-05-27 00:00:00.000","10","3"
"2013-06-03 00:00:00.000","1219","3"
"2013-06-10 00:00:00.000","276","4"
"2013-06-17 00:00:00.000","1498","7"
"2013-06-24 00:00:00.000","4420","18"
"2013-07-01 00:00:00.000","2201","8"
"2013-07-08 00:00:00.000","8374","25"
"2013-07-15 00:00:00.000","1691","8"
"2013-07-22 00:00:00.000","1087","8"
"2013-07-29 00:00:00.000","1551","6"
"2013-08-05 00:00:00.000","4454","16"
"2013-08-12 00:00:00.000","3496","14"
"2013-08-19 00:00:00.000","2814","12"
"2013-08-26 00:00:00.000","2611","15"
"2013-09-02 00:00:00.000","1025","9"
"2013-09-09 00:00:00.000","1113","17"
"2013-09-16 00:00:00.000","1805","13"
