,Users,Users,Changesets,Changesets,Edits,Edits,Users with > 1 day,Users with > 1 day,Changesets from users with > 1 day,Changesets from users with > 1 day,Editsfrom users with > 1 day,Editsfrom users with > 1 day,Users with >= 42 Days,Users with >= 42 Days,Changesets from users with >= 42 days,Changesets from users with >= 42 days,Edits from users with >= 42 days,Edits from users with >= 42 days
is_local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,Non-Local,Local,< 42 Days,">=42 Days
(""Active Contributors"")",< 42 Days,">=42 Days
(""Active Contributors"")",< 42 Days,">=42 Days
(""Active Contributors"")"
country,,,,,,,,,,,,,,,,,,
-,1476,1016,30578,25326,3479179,3207869,1351,342,30271,24052,3453498,3176409,1675,817,12838,43066,2335037,4352011
Africa-anglophone-No,1026,766,14451,11225,2919839,3019641,914,287,14137,9408,2888767,2895429,1315,477,10943,14733,1732372,4207108
Africa-anglophone-Yes,8238,22122,188846,675869,26813058,135049065,6752,7612,184796,598656,26412794,128838295,28526,1834,360219,504496,42677949,119184174
Africa-romanophone-No,2961,2411,41977,40583,8843234,9177125,2563,926,40753,31298,8717366,8471344,4645,727,43013,39547,5166276,12854083
Africa-romanophone-Yes,5039,6066,84539,213397,20033019,51673930,4281,2200,82387,194760,19764536,50092020,9782,1323,110591,187345,16261434,55445515
"Americas, NES-No",4475,6735,106413,82696,11790080,5864840,3855,2170,104602,58978,11654700,4800423,10303,907,84273,104836,5748748,11906172
"Americas, NES-Yes",7405,19464,294787,1023535,31889110,80977350,6120,6155,290860,980099,30718461,79035494,24706,2163,204010,1114312,17178768,95687692
Australia-Yes,992,3323,18574,148158,926562,15097688,873,1391,18311,141770,914727,13379950,3726,589,43109,123623,4940455,11083795
Austria-Yes,2043,3540,23379,122350,1258557,9206645,1858,1666,23098,117482,1255267,9145143,4627,956,49126,96603,1282814,9182388
Belarus-Yes,621,1638,19331,41950,1071227,6213592,577,618,19257,38861,1069840,6172999,1792,467,14994,46287,502627,6782192
Belgium-Yes,1301,3376,20288,166813,1020886,11946943,1168,1551,20076,162127,1016823,11856768,3926,751,40817,146284,1632371,11335458
Brazil-Yes,1568,7099,103931,748742,7534959,88675692,1457,2469,103740,736259,7526487,88175699,7565,1102,71716,780957,14318971,81891680
Canada-Yes,1615,3747,31492,134659,5546549,24654381,1508,1532,31326,129040,5536734,24456457,4330,1032,48072,118079,9537935,20662995
